Edge_Source,Edge_Target,Edge_Type,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,pmid,exposure,outcome,direction,significance,effect_measure,value,ci_lower,ci_upper,exposure_umls_name,exposure_umls_id,exposure_tui,exposure_source,outcome_umls_name,outcome_umls_id,outcome_tui,outcome_source,study_design,number_of_participants,original,base_concept,exposure_direction
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,7383,7383,7383,7383,34537830,evolocumab,cerebrovascular events,decrease,positive,HR,0.77,0.65,0.92,evolocumab,C3529352,"T116, T121, T129",api,Transient cerebrovascular events,C0852396,T047,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,9436,9436,9436,9436,31121022,alirocumab,myocardial infarction,decrease,positive,HR,0.85,0.77,0.95,alirocumab,C3491162,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,10649,10649,10649,10649,31707788,alirocumab,hemorrhagic stroke,not found,negative,HR,0.83,0.42,1.65,alirocumab,C3491162,"T116, T121, T129",api,Hemorrhagic Stroke,C5234922,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,12369,12369,12369,12369,29626068,evolocumab,major vascular events,decrease,positive,HR,0.8,0.71,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,12370,12370,12370,12370,29626068,evolocumab,major vascular events,decrease,positive,HR,0.82,0.72,0.93,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,12371,12371,12371,12371,29626068,evolocumab,major vascular events,decrease,positive,HR,0.79,0.69,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,12372,12372,12372,12372,29626068,evolocumab,major vascular events,not found,negative,HR,0.95,0.85,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,12373,12373,12373,12373,29626068,evolocumab,major vascular events,not found,negative,HR,0.92,0.84,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,12374,12374,12374,12374,29626068,evolocumab,major vascular events,not found,negative,HR,0.93,0.85,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,17303,17303,17303,17303,25773607,evolocumab,cardiovascular events,decrease,positive,HR,0.47,0.28,0.78,evolocumab,C3529352,"T116, T121, T129",api,Cardiovascular event,C1320716,T033,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,23244,23244,23244,23244,22104547,darbepoetin alfa,stroke,increase,positive,HR,1.9,1.4,2.7,darbepoetin alfa,C0937950,"T116, T121",api,Stroke (heart beat),C5977286,T033,api,RCT,1,darbepoetin alfa,darbepoetin alfa,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,23245,23245,23245,23245,22104547,darbepoetin alfa,stroke,increase,positive,OR,2.1,1.5,2.9,darbepoetin alfa,C0937950,"T116, T121",api,Stroke (heart beat),C5977286,T033,api,RCT,1,darbepoetin alfa,darbepoetin alfa,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,31749,31749,31749,31749,12021219,abciximab,myocardial infarction,decrease,positive,RR,0.68,0.53,0.87,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,33469,33469,33469,33469,10341274,abciximab,myocardial infarction,decrease,positive,OR,0.23,0.12,0.49,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,33726,33726,33726,33726,10636365,abciximab,death or large myocardial infarction,decrease,positive,HR,0.46,0.32,0.67,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,scispacy,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,34349,34349,34349,34349,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.29,0.1,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,34350,34350,34350,34350,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.47,0.26,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,89133,89133,89133,89133,28245350,tocilizumab,cardiovascular events,not found,negative,HR,0.84,0.56,1.26,tocilizumab,C1609165,T116|T121|T129,cohort_kg,cardiovascular event,C1320716,T033,cohort_kg,OS,1,tocilizumab,tocilizumab,increased
Antineoplastic And Biologic Therapies,Stroke,Risk Factor,124840,124840,124840,124840,32781110,bevacizumab,acute cerebrovascular disease,not found,negative,HR,1.04,0.78,1.38,bevacizumab,C0796392,T116|T121|T129,cohort_kg,Acute cerebrovascular disease,C0810006,T047,cohort_kg,OS,1,bevacizumab,bevacizumab,increased
Antiviral Medications,Influenza Vaccine,Determinant,33389,33389,33389,33389,10536125,oseltamivir,influenza-like illness,decrease,positive,RR,0.26,0.12,0.47,oseltamivir,C0874161,"T109, T121",api,Influenza-like illness,C0521839,T047,api,RCT,1,oseltamivir,oseltamivir,increased
Antiviral Medications,Influenza Vaccine,Determinant,33397,33397,33397,33397,10536125,oseltamivir,culture-proved influenza,decrease,positive,RR,0.13,0.04,0.35,oseltamivir,C0874161,"T109, T121",api,Influenza,C0021400,T047,scispacy,RCT,1,oseltamivir,oseltamivir,increased
Antiviral Medications,Stroke,Risk Factor,23451,23451,23451,23451,21427402,abacavir,myocardial infarction,not found,negative,HR,0.7,0.2,2.4,abacavir,C0663655,"T114, T121",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abacavir,abacavir,increased
Antiviral Medications,Stroke,Risk Factor,23454,23454,23454,23454,21427402,abacavir,myocardial infarction,not found,negative,HR,0.6,0.3,1.4,abacavir,C0663655,"T114, T121",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abacavir,abacavir,increased
Antiviral Medications,Stroke,Risk Factor,108631,108631,108631,108631,25595744,HIV,myocardial infarction,not found,negative,IRR,1.01,0.41,2.54,HIV,C0019682,T005,cohort_kg,Myocardial Infarction,C0027051,T047,cohort_kg,OS,1,HIV,HIV,increased
Antiviral Medications,Stroke,Risk Factor,108632,108632,108632,108632,25595744,HIV,myocardial infarction,increase,positive,IRR,1.78,0.75,4.24,HIV,C0019682,T005,cohort_kg,Myocardial Infarction,C0027051,T047,cohort_kg,OS,1,HIV,HIV,increased
Antiviral Medications,Stroke,Risk Factor,121823,121823,121823,121823,31828320,atazanavir,myocardial infarction,not found,negative,OR,1.54,0.87,2.73,atazanavir,C1145759,T109|T121,cohort_kg,Myocardial Infarction,C0027051,T047,cohort_kg,OS,1,atazanavir,atazanavir,increased
Medication Use,Stroke,Risk Factor,30955,30955,30955,30955,14643116,ximelagatran,stroke or systemic embolism,decrease,positive,RR,0.71,0.48,1.065,ximelagatran,C0966370,"T109, T121",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,ximelagatran,ximelagatran,increased
Pregnancy-Related Infections And Complications,Stroke,Risk Factor,26414,26414,26414,26414,18997197,vitamin E,hemorrhagic stroke,increase,positive,HR,1.74,1.04,2.91,vitamin E,C0042874,"T109, T121, T127",api,Hemorrhagic Stroke,C5234922,T047,api,RCT,1,vitamin E,vitamin,increased
Pregnancy-Related Infections And Complications,Stroke,Risk Factor,29628,29628,29628,29628,15998891,vitamin E,myocardial infarction,not found,negative,RR,1.01,0.82,1.23,vitamin E,C0042874,"T109, T121, T127",api,Myocardial Infarction,C0027051,T047,api,RCT,1,vitamin E,vitamin,increased
Pregnancy-Related Infections And Complications,Stroke,Risk Factor,29629,29629,29629,29629,15998891,vitamin E,stroke,not found,negative,RR,0.98,0.82,1.17,vitamin E,C0042874,"T109, T121, T127",api,Stroke (heart beat),C5977286,T033,api,RCT,1,vitamin E,vitamin,increased
Pregnancy-Related Infections And Complications,Stroke,Risk Factor,46114,46114,46114,46114,10383366,vitamin E,ischemic stroke,not found,negative,relative risk,1.18,0.77,1.82,vitamin E,C0042874,T109|T121|T127,cohort_kg,Ischemic stroke,C0948008,T047,cohort_kg,OS,1,vitamin E,vitamin,increased
Pregnancy-Related Infections And Complications,Stroke,Risk Factor,48926,48926,48926,48926,11380744,vitamin E,cardiovascular events,decrease,positive,RR,0.16,0.04,0.55,vitamin E,C0042874,T109|T121|T127,cohort_kg,cardiovascular event,C1320716,T033,cohort_kg,OS,1,vitamin E,vitamin,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,7383,7383,7383,7383,34537830,evolocumab,cerebrovascular events,decrease,positive,HR,0.77,0.65,0.92,evolocumab,C3529352,"T116, T121, T129",api,Transient cerebrovascular events,C0852396,T047,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,9436,9436,9436,9436,31121022,alirocumab,myocardial infarction,decrease,positive,HR,0.85,0.77,0.95,alirocumab,C3491162,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Immunotherapy Treatments,Stroke,Risk Factor,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
